"country","side","year","file","sheet","status","layout_family","warning"
"CHL","old",2000,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx",,"missing_sheet","year_sheets","No matching sheet for year 2000 in CEI_merged.xlsx."
"CHL","old",2001,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx",,"missing_sheet","year_sheets","No matching sheet for year 2001 in CEI_merged.xlsx."
"CHL","old",2002,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx",,"missing_sheet","year_sheets","No matching sheet for year 2002 in CEI_merged.xlsx."
"CHL","old",2003,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","2003","matched","year_sheets",
"CHL","old",2004,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","2004","matched","year_sheets",
"CHL","old",2005,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","2005","matched","year_sheets",
"CHL","old",2006,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","2006","matched","year_sheets",
"CHL","old",2007,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","2007","matched","year_sheets",
"CHL","old",2008,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","2008","matched","year_sheets",
"CHL","old",2009,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","2009","matched","year_sheets",
"CHL","old",2010,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","2010","matched","year_sheets",
"CHL","old",2011,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","2011","matched","year_sheets",
"CHL","old",2012,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","2012","matched","year_sheets",
"CHL","old",2013,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","2013","matched","year_sheets",
"CHL","old",2014,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","2014","matched","year_sheets",
"CHL","old",2015,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","2015","matched","year_sheets",
"CHL","old",2016,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","2016","matched","year_sheets",
"CHL","old",2017,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","2017","matched","year_sheets",
"CHL","old",2018,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","2018","matched","year_sheets",
"CHL","old",2019,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","2019","matched","year_sheets",
"CHL","old",2020,"/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","2020","matched","year_sheets",
